id_inconsistencia	cod_barra	columna	valor	nuevo_valor	estado_revision	departamento	compuesta	compuesta_values	id_usuario
15	762011785501	cor_est			0	ICA	0		 
15	762010401601	cor_est			0	AMAZONAS	0		 
15	762010548601	cor_est			0	PUNO	0		 
15	762011745101	cor_est			0	ÁNCASH	0		 
15	762012252701	cor_est			0	LIMA	0		 
15	762010104801	cor_est			0	CAJAMARCA	0		 
15	762011581501	cor_est			0	JUNÍN	0		 
15	762012089201	cor_est			0	LIMA	0		 
15	762011813601	cor_est			0	ICA	0		 
15	762010302001	cor_est			0	CUSCO	0		 
15	762012014001	cor_est			0	LIMA	0		 
15	762012033701	cor_est			0	LIMA	0		 
15	762011098401	cor_est			0	LAMBAYEQUE	0		 
15	762010630901	cor_est			0	SAN MARTÍN	0		 
15	762010906901	cor_est			0	LAMBAYEQUE	0		 
15	762010371801	cor_est			0	HUÁNUCO	0		 
15	762011626801	cor_est			0	PASCO	0		 
15	762010215401	cor_est			0	UCAYALI	0		 
15	762012078101	cor_est			0	LIMA	0		 
15	762011145101	cor_est			0	PIURA	0		 
15	762011554101	cor_est			0	HUANCAVELICA	0		 
15	762012274301	cor_est			0	LIMA	0		 
15	762012211601	cor_est			0	LIMA	0		 
15	762011815401	cor_est			0	ICA	0		 
15	762010680401	cor_est			0	PUNO	0		 
15	762011778601	cor_est			0	ICA	0		 
15	762011448401	cor_est			0	LA LIBERTAD	0		 
15	762011435301	cor_est			0	LA LIBERTAD	0		 
15	762011415501	cor_est			0	PIURA	0		 
15	762011600701	cor_est			0	ICA	0		 
15	762012240201	cor_est			0	LIMA	0		 
15	762010854201	cor_est			0	AREQUIPA	0		 
15	762011850301	cor_est			0	ICA	0		 
15	762010537701	cor_est			0	HUÁNUCO	0		 
15	762011294001	cor_est			0	PIURA	0		 
15	762012092501	cor_est			0	LIMA	0		 
15	762012309801	cor_est			0	LIMA	0		 
15	762012273301	cor_est			0	LIMA	0		 
15	762011458701	cor_est			0	LA LIBERTAD	0		 
15	762011732601	cor_est			0	ÁNCASH	0		 
15	762011978001	cor_est			0	LIMA	0		 
15	762012165201	cor_est			0	CALLAO	0		 
15	762010544201	cor_est			0	PUNO	0		 
15	762010519901	cor_est			0	UCAYALI	0		 
15	762011881401	cor_est			0	ÁNCASH	0		 
15	762010312001	cor_est			0	CAJAMARCA	0		 
