id_inconsistencia	cod_barra	columna	valor	nuevo_valor	estado_revision	departamento	compuesta	compuesta_values	id_usuario
16	762011982001	sexo	4		0	LIMA	0		 
16	762010062401	sexo			0	CAJAMARCA	0		 
16	762010860601	sexo			0	AREQUIPA	0		 
16	762010343201	sexo			0	CAJAMARCA	0		 
16	762010288101	sexo			0	PUNO	0		 
16	762010331101	sexo			0	CAJAMARCA	0		 
16	762011986001	sexo			0	LIMA	0		 
16	762010465601	sexo			0	LORETO	0		 
16	762010395601	sexo			0	LORETO	0		 
16	762011901001	sexo			0	�NCASH	0		 
16	762010651401	sexo			0	PUNO	0		 
16	762011263701	sexo			0	PIURA	0		 
16	762011086701	sexo			0	LAMBAYEQUE	0		 
16	762011026501	sexo			0	MOQUEGUA	0		 
16	762012117501	sexo			0	LIMA	0		 
16	762011925201	sexo			0	JUN�N	0		 
16	762011668601	sexo			0	JUN�N	0		 
16	762010109501	sexo			0	CAJAMARCA	0		 
16	762010371301	sexo			0	HU�NUCO	0		 
16	762012081501	sexo			0	LIMA	0		 
16	762010697401	sexo			0	MADRE DE DIOS	0		 
16	762010490401	sexo			0	SAN MART�N	0		 
16	762010529101	sexo			0	SAN MART�N	0		 
16	762010787401	sexo			0	AREQUIPA	0		 
16	762010612001	sexo			0	CAJAMARCA	0		 
16	762010152701	sexo			0	CAJAMARCA	0		 
16	762012038201	sexo			0	LIMA	0		 
16	762011464901	sexo			0	LA LIBERTAD	0		 
16	762010642901	sexo			0	CAJAMARCA	0		 
16	762010448801	sexo			0	LORETO	0		 
16	762010715001	sexo			0	SAN MART�N	0		 
16	762012231901	sexo			0	LIMA	0		 
16	762012081801	sexo			0	LIMA	0		 
16	762011094801	sexo			0	LAMBAYEQUE	0		 
16	762011431501	sexo			0	LA LIBERTAD	0		 
16	762010325701	sexo			0	CAJAMARCA	0		 
16	762010236101	sexo			0	CUSCO	0		 
16	762010048501	sexo			0	SAN MART�N	0		 
16	762011936401	sexo			0	JUN�N	0		 
16	762010572901	sexo			0	SAN MART�N	0		 
16	762011411801	sexo			0	PIURA	0		 
16	762010778901	sexo			0	APUR�MAC	0		 
16	762012285801	sexo			0	LIMA	0		 
16	762011943001	sexo			0	JUN�N	0		 
16	762012086401	sexo			0	LIMA	0		 
16	762011227701	sexo			0	PIURA	0		 
16	762010999901	sexo			0	PIURA	0		 
16	762011076101	sexo			0	LAMBAYEQUE	0		 
16	762011672501	sexo			0	JUN�N	0		 
16	762010108401	sexo			0	CAJAMARCA	0		 
16	762012041201	sexo			0	LIMA	0		 
16	762012292301	sexo			0	LIMA	0		 
16	762011850901	sexo			0	ICA	0		 
16	762011970901	sexo			0	LIMA	0		 
16	762012137601	sexo			0	CALLAO	0		 
16	762010473301	sexo			0	LORETO	0		 
16	762011703801	sexo			0	HU�NUCO	0		 
16	762010480501	sexo			0	PUNO	0		 
16	762010413601	sexo			0	LORETO	0		 
16	762010347701	sexo			0	CUSCO	0		 
16	762011935101	sexo			0	JUN�N	0		 
16	762010008201	sexo			0	LORETO	0		 
16	762011426701	sexo			0	LA LIBERTAD	0		 
16	762011558401	sexo			0	�NCASH	0		 
16	762010807301	sexo			0	PIURA	0		 
16	762012034501	sexo			0	LIMA	0		 
16	762010992201	sexo			0	AYACUCHO	0		 
16	762010532001	sexo			0	SAN MART�N	0		 
16	762011970301	sexo			0	LIMA	0		 
16	762011114401	sexo			0	AREQUIPA	0		 
16	762010964601	sexo			0	AREQUIPA	0		 
16	762011284101	sexo			0	PIURA	0		 
16	762011249601	sexo			0	PIURA	0		 
16	762012114601	sexo			0	LIMA	0		 
16	762011325301	sexo			0	LA LIBERTAD	0		 
16	762011528401	sexo			0	LA LIBERTAD	0		 
16	762011716101	sexo			0	HU�NUCO	0		 
16	762010188901	sexo			0	UCAYALI	0		 
16	762012249201	sexo			0	LIMA	0		 
16	762012219801	sexo			0	LIMA	0		 
16	762011699701	sexo			0	HU�NUCO	0		 
16	762011488001	sexo			0	LA LIBERTAD	0		 
16	762011597901	sexo			0	ICA	0		 
16	762011665601	sexo			0	JUN�N	0		 
16	762011807201	sexo			0	HU�NUCO	0		 
16	762010050101	sexo			0	SAN MART�N	0		 
16	762011774801	sexo			0	ICA	0		 
16	762011547801	sexo			0	HU�NUCO	0		 
16	762010039001	sexo			0	PUNO	0		 
16	762012145301	sexo			0	CALLAO	0		 
16	762011113901	sexo			0	AREQUIPA	0		 
16	762011038601	sexo			0	AREQUIPA	0		 
16	762011222601	sexo			0	PIURA	0		 
16	762011107501	sexo			0	AREQUIPA	0		 
16	762011699501	sexo			0	HU�NUCO	0		 
16	762010316101	sexo			0	SAN MART�N	0		 
16	762012248501	sexo			0	LIMA	0		 
16	762010087301	sexo			0	CAJAMARCA	0		 
16	762011305201	sexo			0	LA LIBERTAD	0		 
16	762010489001	sexo			0	SAN MART�N	0		 
16	762012281001	sexo			0	LIMA	0		 
16	762012161601	sexo			0	CALLAO	0		 
16	762011336601	sexo			0	PIURA	0		 
16	762011534801	sexo			0	LA LIBERTAD	0		 
16	762012115301	sexo			0	LIMA	0		 
16	762010429901	sexo			0	LORETO	0		 
16	762012312001	sexo			0	LIMA	0		 
16	762010832801	sexo			0	AREQUIPA	0		 
16	762011533201	sexo			0	LA LIBERTAD	0		 
16	762010389601	sexo			0	LORETO	0		 
16	762011681101	sexo			0	JUN�N	0		 
16	762010516101	sexo			0	UCAYALI	0		 
16	762010200501	sexo			0	UCAYALI	0		 
16	762010362701	sexo			0	SAN MART�N	0		 
16	762011637501	sexo			0	HUANCAVELICA	0		 
